파머스 립 랜덤샷 소비뇽 블랑,Farmer's Leap Random Shot Sauvignon Blanc,화이트,None,None,44000,None,None,None,1,
파머스 립 랜덤 샷 쉬라즈,Farmer's Leap Random Shot Shiraz,레드,14.5,16~18℃,44000,None,None,None,None,
파머스 립 페더웨이 쉬라즈,Farmer's Leap Padthaway Shiraz,레드,14.5,16~18℃,70000,None,None,None,None,
다렌버그 허밋 크랩 비오니에 마르산네,d'Arenberg The Hermit Crab Viognier Marsanne,화이트,None,None,None,1,None,None,1,
알렉산드리아 렐바스 몬테 도스 아미고스,Alexandre Relvas Monte dos Amigos,레드,None,None,None,None,None,None,None,
다렌버그 올리브 그로브 샤도네이,d'Arenberg  Olive Grove Chardonnay,화이트,13.8,8~10℃,None,1,None,None,1,
다렌버그 스텀프 점프 화이트,d'Arenberg Stump Jump White,화이트,13.0,8~10℃,None,1,None,None,1,
실레너스 까베르네 쇼비뇽 에스테이트 리저브,Silenus Cabernet Sauvignon Estate Reserve,레드,None,None,300000,None,None,None,None,
실레너스 까베르네 쇼비뇽,Silenus Cabernet Sauvignon ,레드,None,None,200000,None,None,None,None,
실레너스 메를로,Silenus Merlot,레드,None,None,150000,None,None,None,None,
몽그라스 닝켄,Montgras Ninquen,레드,14.9,17~19℃,None,1,None,5,None,
몽그라스 인트리가,Montgras Intriga,레드,14.5,16~18℃,125000,1,None,5,None,
몽그라스 안투 쉬라,Montgras Antu Syrah,레드,14.6,16~18℃,90000,1,None,5,None,
몽그라스 안투 까베르네 소비뇽 ,Montgras Antu Cabernet Sauvignon,레드,14.0,16~18℃,None,1,None,5,None,
몽그라스 콰트로 레드,Montgras Quatro Red,레드,14.0,16~18℃,60000,1,None,4,None,
몽그라스 더블 엑스,Montgras XX,레드,13.5,16~18℃,None,1,None,4,None,
몽그라스 리제르바 샤도네이,Montgras Reserva Chardonnay,화이트,14.0,10~12℃,45000,1,None,3,1,
몽그라스 리제르바 메를로,Montgras Reserva Merlot,레드,None,16~18℃,None,1,None,3,None,
몽그라스 리제르바 까베르네 쇼비뇽 쉬라,Montgras Reserva Cabernet Sauvignon Syrah,레드,None,16~18℃,None,1,None,5,None,
몽그라스 리제르바 까베르네 쇼비뇽,Montgras Reserva Cabernet Sauvignon,레드,14.0,16~18℃,45000,1,None,4,None,
몽그라스 샤도네이,Montgras Chardonnay,화이트,12.5,10~13℃,None,1,None,3,1,
몽그라스 메를로,Montgras Merlot,레드,13.0,16~18℃,None,1,None,3,None,
몽그라스 까베르네 쇼비뇽,Montgras Cabernet Sauvignon ,레드,13.0,16~18℃,35000,None,None,3,None,
페처 게부르츠트라미네 '쉘리 롬',Fetzer Gewurztraminer ‘Shlay Loam’,화이트,13.5,10~12℃,None,2,None,3,1,
