104,솔로몬 힐스 에스테이트 피노 누아,Solomon Hills Estate Pinot Noir,레드,None,15~17℃,286000,1,3,3,2
105,솔로몬 힐스 에스테이트 샤르도네,Solomon Hills Estate Chardonnay,화이트,None,10~12℃,230000,1,3,3,1
106,비엔 나시도 에스테이트 피노 누아,Bien Nacido Estate Pinot Noir,레드,None,15~17℃,286000,1,3,3,3
107,비엔 나시도 에스테이트 시라,Bien Nacido Estate Syrah,레드,None,16~18℃,286000,1,3,4,4
108,비엔 나시도 에스테이트 샤르도네,Bien Nacido Estate Chardonnay,화이트,None,10~12℃,230000,1,3,4,1
109,마이너  에밀리 까베르네 소비뇽,Miner  Emily's Cabernet Sauvignon,레드,14.1,16~18℃,200000,1,3,5,4
110,벨스타 프로세코 컬트 엑스트라 드라이,Belstar Prosecco Cult Extra Dry,스파클링,11.0,6~8℃,55000,1,3,2,1
111,도멘 귀엠  르 포트 드 뱅,Domaine Guilhem  Le Pot de Vin,레드,13.0,16~18℃,47000,1,3,4,4
112,바인굿 빈터  리슬링,Weingut Winter  Riesling,화이트,12.0,10~12℃,42000,1,3,2,1
113,도비  브뤼 리저브 프르미에 크뤼,Dauby  Brut Reserve Premier Cru,스파클링,12.0,6~8℃,81000,1,3,3,1
114,모스케토 로제,Mosketto Rose,로제,5.0,6~8℃,22500,4,2,2,1
115,엘 다르장,Aile d’Argent,화이트,None,10~12℃,150000,1,3,4,1
116,가이서픽  캘리포니아 진판델,Geyser Peak  California Zintandel,레드,13.5,17~19℃,None,1,2,4,3
117,가이서픽  캘리포니아 카베네 소비뇽,Geyser Peak  California Cabernet Sauvignon,레드,13.5,16~18℃,50000,1,3,4,3
118,가이서픽  테크토닉 레드 와인 블렌드,Geyser Peak  Tectonic Red Wine Blend,레드,13.5,16~18℃,76000,1,3,4,4
119,에라주리즈  아콩카구아 코스타 피노 누아,Errazuriz  Aconcagua Costa Pinot Noir,레드,13.0,15~17℃,None,1,3,3,2
120,칼레라  센트럴 코스트 피노 누아,Calera  Central Coast Pinot Noir,레드,14.5,15~17℃,90000,1,3,4,3
121,칼레라  센트럴 코스트 샤도네이,Calera  Central Coast Chardonnay,화이트,14.2,10~12℃,70000,1,2,4,1
122,로즈마운트  밀매처 화이트 블렌드,Rosemount  Meal Matcher White Blend,화이트,12.5,8~10℃,38000,1,3,2,1
123,로즈마운트  밀매처 레드 블렌드,Rosemount  Meal Matcher Red Blend,레드,13.5,16~18℃,38000,1,3,3,2
124,로즈마운트  블렌드 까베르네 메를로,Rosemount  Blends Cabernet Merlot,레드,13.5,16~18℃,28000,1,3,4,3
125,로즈마운트  다이아몬드 라벨 피노 누아 ,Rosemount  Diamond Label Pinot Noir,레드,13.0,15~17℃,38000,1,3,3,3
126,제데 드 라베고스,Zede de Labegorce,레드,13.5,16~18℃,None,1,3,5,4
127,샤또 라베고스,Chateau Labegorce,레드,13.5,16~18℃,None,1,3,5,4
128,포지오 알 테소로  일 세지오,Poggio al Tesoro  Il Seggio ,레드,14.0,16℃,115000,1,3,4,4
129,포지오 알 테소로  카시오페아 로사토,Poggio al Tesoro  Cassiopea Rosato ,로제,12.5,12~14℃,59000,1,3,2,1
130,포지오 알 테소로  메디테라,Poggio al Tesoro  Mediterra,레드,13.5,15~17℃,87000,1,3,4,4
131,프리시전  애로우플라이트 샤르도네,Precision  Arrowflite Chardonnay,화이트,13.5,10~12℃,85000,1,3,3,1
132,차크라  신 아즈프레,Chacra  Sin Azufre,레드,None,15~17℃,210000,1,3,3,2
133,칸티  아스티 세코 퀴베21 ,Canti  Asti Secco Cuvee C.21  ,스파클링,11.0,6~8℃,19800,1,2,2,1
134,써니 와인  상그리아 파우치 ,Sunny Wine  Sangria Pouch ,기타,9.0,6~8℃,9980,4,2,2,1
135,더블 캐넌  홀스 헤븐 힐스 까베르네 소비뇽,Double Canyon  Horse Heaven Hills Cabernet Sauvignon,레드,None,17~19℃,118000,1,3,4,4
136,세븐 힐스  콜롬비아 벨리 메를로,Seven Hills  Columbia Valley Merlot,레드,None,16~18℃,118000,1,3,4,4
137,세븐 힐스  콜롬비아 밸리 소비뇽 블랑,Seven Hills  Columbia Valley Sauvignon Blanc,화이트,None,8~10℃,72000,1,3,2,1
138,세게지오  베르멘티노,Seghesio  Vermentino,화이트,None,10~12℃,95000,1,3,3,1
139,루이스 더 마리네로 레드 상그리아,Luis the Marinero Red Sangria,기타,6.0,6~8℃,31000,3,2,2,1
140,켄더만  블랙 타워 클래식 리슬링,Kendermann  Black Tower Classic Riesling,화이트,12.0,6~8℃,20000,2,3,2,1
141,FC 바르셀로나 까바 브뤼,FC Barcelona Cava Brut,스파클링,11.0,6~8℃,50000,1,3,2,1
142,배비치  포비든 바인 말보로 소비뇽 블랑,Babich  Forbidden Vine Malborough Sauvignon Blanc,화이트,12.5,8~10℃,23000,1,3,2,1
143,산타 리타  120 리저브 스페셜 소비뇽 블랑,Santa Rita  120 Reserva Especial Sauvignon Blanc,화이트,13.0,8~10℃,17000,None,None,None,None
144,도멘 뒤 타리케  꼬떼,Domaine du Tariquet  Cote,화이트,11.5,8~10℃,50000,1,3,2,1
145,씨슬  피노 누아,Thistle  Pinot Noir,레드,13.1,15~17℃,160000,1,3,3,2
146,라 스피네따  토스카나 베르멘티노,La Spinetta  Toscana Vermentino,화이트,13.0,10~12℃,66000,1,3,2,1
147,라 스피네따  랑게 비앙코,La Spinetta  Langhe Bianco,화이트,12.5,10~12℃,180000,1,3,3,1
148,페탈루마  화이트 라벨 샤도네이,Petaluma  White Label Chardonnay,화이트,13.1,10~12℃,70000,1,3,3,1
149,페탈루마  화이트 라벨 까베르네 소비뇽,Petaluma  White Label Cabernet Sauvignon,레드,14.5,16~18℃,90000,1,3,3,4
150,페탈루마  화이트 라벨 쉬라즈,Petaluma  White Label Shiraz,레드,14.5,16~18℃,90000,1,3,3,3
151,페탈루마  옐로우 라벨 리슬링,Petaluma  Yellow Label Riesling,화이트,12.3,9~11℃,80000,1,3,3,1
152,페탈루마  옐로우 라벨 샤도네이,Petaluma  Yellow Label Chardonnay,화이트,14.0,10~12℃,136000,1,3,3,1
153,페탈루마  옐로우 라벨 쉬라즈,Petaluma  Yellow Label Shiraz,레드,14.0,17~19℃,152000,1,3,4,4
154,페탈루마  옐로우 라벨 쿠나와라,Petaluma  Yellow Label Coonawarra,레드,14.5,16~18℃,178000,1,3,4,5
155,카바이 뀌베 모렐,Kabaj Cuvee Morel,레드,13.5,16~18℃,140000,1,3,5,3
156,카바이 메를로,Kabaj Merlot,레드,13.5,14~16℃,120000,1,3,5,3
157,카바이 샤르도네,Kabaj Chardonnay,화이트,13.0,10~12℃,180000,1,3,4,1
158,카바이 소비뇽,Kabaj Sauvignon  ,화이트,13.0,8~10℃,100000,1,3,4,1
159,카바이 루이자,Kabaj Luisa,화이트,13.0,10~12℃,110000,1,3,4,1
160,카바이 벨리 피노,Kabaj Beli Pinot,화이트,13.0,10~12℃,90000,1,3,4,1
161,카바이 시비 피노,Kabaj Sivi Pinot,화이트,13.0,10~12℃,90000,1,3,4,1
162,카바이 암포라,Kabaj Amfora ,화이트,12.5,10~12℃,300000,1,3,4,1
163,에이슬 빈야드 알타그라시아 까베르네 소비뇽,Eisele Vineyard Altagracia Cabernet Sauvignon,레드,14.8,17~19℃,1450000,1,3,5,5
164,에이슬 빈야드 까베르네 소비뇽,Eisele Vineyard Cabernet Sauvignon,레드,14.8,16~18℃,380000,1,3,5,5
165,리브라  에스테이트 피노 누아,Libra  Estate Pinot Noir,레드,13.5,15~17℃,None,1,3,3,3
166,파워스  비오니에,Powers  Viognier,화이트,13.0,10~12℃,None,1,3,3,1
167,파워스  스펙트럼,Powers  Spectrum,레드,14.5,16~18℃,None,1,3,4,3
168,파워스  키오나 까베르네 쇼비뇽 리저브,Poiwers  Kiona Cabernet Sauvignon Reserve,레드,14.0,17~19℃,None,1,3,5,4
169,파워스  샴푸이 블렌드 리저브,Powers  Champoux Blend Reserve,레드,14.0,17~19℃,None,1,3,5,4
170,베츠  베졸레일,Betz  Besoleil,레드,14.1,17~19℃,None,1,3,5,4
171,맥매니스 멜롯,McManis Merlot,레드,13.5,16~18℃,75000,1,3,4,3
172,베어풋  버블리 핑크 모스카토,Barefoot  Bubbly Pink Moscato,스파클링,None,6~8℃,None,None,None,None,None
173,베어풋  버블리 피노 그리지오,Barefoot  Bubbly Pinot Grigio,스파클링,None,6~8℃,None,None,None,None,None
174,도멘 페블레  메르퀴레 프르미에 크뤼 '끌로 데 미글랑',Domaine Faiveley  Mercurey 1er Cru ‘Clos des Myglands’,레드,13.0,15~17℃,100000,1,3,3,2
175,칠릴리스  테오페트라 에스테이트 말라구지아  아시르티코,Tsililis  Theopetra Estate Malagouzia  Assyrtiko,화이트,13.0,6~7℃,60000,1,3,3,1
176,칠릴리스  테오페트라 에스테이트 로제,Tsililis  Theopetra Estate Rose,로제,13.5,8~9℃,60000,1,2,3,2
177,칠릴리스  테오페트라 에스테이트 림니오나,Tsililis  Theopetra Estate Limniona,레드,13.0,18~19℃,70000,1,3,4,3
178,레이몬드  러더포드 까베르네 소비뇽 ,Raymond  Rutherford Cabernet Sauvignon,레드,None,16~18℃,500000,1,3,4,5
